2025-10-20 13:58:35 | INFO     | {"ACTION": "create_user", "DETAILS": {"RESULT": "created", "USER": "1122387206", "WORDS_ADDED": 111}}
2025-10-20 13:59:16 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added", "USER": 1122387206, "WORD": "Сон"}}
2025-10-20 13:59:38 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "already_exists", "USER": 1122387206, "WORD": "Барсук"}}
2025-10-20 14:00:16 | INFO     | {"ACTION": "delete_word", "DETAILS": {"RESULT": "deleted", "USER": 1122387206, "WORD": "Барсук"}}
2025-10-20 14:00:50 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added_existing", "USER": 1122387206, "WORD": "Барсук"}}
2025-10-20 14:01:11 | WARNING  | {"ACTION": "add_word", "DETAILS": {"RESULT": "translation_failed", "USER": 1122387206, "WORD": "Уцывао"}}
2025-10-20 14:08:09 | INFO     | {"ACTION": "delete_word", "DETAILS": {"RESULT": "word_not_found", "USER": 1122387206, "WORD": "Аываыва"}}
2025-10-20 14:14:57 | WARNING  | {"ACTION": "add_word", "DETAILS": {"RESULT": "translation_failed", "USER": 1122387206, "WORD": "Йцуываы"}}
2025-10-20 14:42:01 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added", "USER": 1122387206, "WORD": "Самолет"}}
2025-10-20 14:42:14 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "already_exists", "USER": 1122387206, "WORD": "Барсук"}}
2025-10-20 14:42:26 | WARNING  | {"ACTION": "add_word", "DETAILS": {"RESULT": "translation_failed", "USER": 1122387206, "WORD": "Цкуцууцка"}}
2025-10-20 15:26:41 | INFO     | {"ACTION": "create_user", "DETAILS": {"RESULT": "created", "USER": "1122387206", "WORDS_ADDED": 111}}
2025-10-20 15:28:53 | INFO     | {"ACTION": "create_user", "DETAILS": {"RESULT": "created", "USER": "1122387206", "WORDS_ADDED": 111}}
2025-10-20 15:30:15 | INFO     | {"ACTION": "create_user", "DETAILS": {"RESULT": "created", "USER": "5430030545", "WORDS_ADDED": 111}}
2025-10-20 15:35:57 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "already_exists", "USER": 5430030545, "WORD": "Чайник"}}
2025-10-20 15:38:24 | INFO     | {"ACTION": "delete_word", "DETAILS": {"RESULT": "deleted", "USER": 5430030545, "WORD": "Щетка"}}
2025-10-20 15:55:17 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added", "USER": 1122387206, "WORD": "Товарищ"}}
2025-10-20 16:38:18 | INFO     | {"ACTION": "create_user", "DETAILS": {"RESULT": "created", "USER": "7007805246", "WORDS_ADDED": 111}}
2025-10-20 16:39:52 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added", "USER": 7007805246, "WORD": "Стойло"}}
2025-10-20 18:25:11 | INFO     | {"ACTION": "create_user", "DETAILS": {"RESULT": "created", "USER": "1596597324", "WORDS_ADDED": 111}}
2025-10-20 18:26:07 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added", "USER": 1596597324, "WORD": "Телефон"}}
2025-10-20 18:26:46 | WARNING  | {"ACTION": "add_word", "DETAILS": {"RESULT": "translation_failed", "USER": 1596597324, "WORD": "Поранопо"}}
2025-10-20 18:27:28 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added", "USER": 1596597324, "WORD": "Лошадь"}}
2025-10-20 21:00:54 | INFO     | {"ACTION": "create_user", "DETAILS": {"RESULT": "created", "USER": "5150429442", "WORDS_ADDED": 111}}
2025-10-23 13:12:04 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added", "USER": 1122387206, "WORD": "Подоконник"}}
2025-10-23 13:34:33 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added", "USER": 1122387206, "WORD": "Зеркало"}}
2025-10-23 13:57:45 | INFO     | {"ACTION": "create_user", "DETAILS": {"RESULT": "created", "USER": "1122387206", "WORDS_ADDED": 0}}
2025-10-23 14:00:20 | INFO     | {"ACTION": "create_user", "DETAILS": {"RESULT": "created", "USER": "1122387206", "WORDS_ADDED": 111}}
2025-10-23 14:01:57 | INFO     | {"ACTION": "delete_word", "DETAILS": {"RESULT": "deleted", "USER": 1122387206, "WORD": "Барсук"}}
2025-10-23 14:08:11 | INFO     | {"ACTION": "add_word", "DETAILS": {"RESULT": "added_existing", "USER": 1122387206, "WORD": "Барсук"}}
2025-10-23 14:08:18 | INFO     | {"ACTION": "delete_word", "DETAILS": {"RESULT": "deleted", "USER": 1122387206, "WORD": "Барсук"}}
